n,base_sku,base_asin,base_item_name,base_status,am_sku,am_exists,am_asin,am_item_name,am_status,am_created_date,classification,notes
41,38-41,B01MY99RX7,"Magnet Me Up I Love South Dakota, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-41AM,YES,B01MY99RX7,"Magnet Me Up I Love South Dakota, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:07:45.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-41-P parent."
42,38-42,B01N9SPYKL,"Magnet Me Up I Love Tennessee, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-42AM,YES,B01N9SPYKL,"Magnet Me Up I Love Tennessee, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:08:43.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-42-P parent."
43,38-43,B01NAU9A7A,"Magnet Me Up I Love Texas, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-43AM,YES,B01NAU9A7A,"Magnet Me Up I Love Texas, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:10:04.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-43-P parent."
44,38-44,B01MTA3K9L,"Magnet Me Up I Love Utah, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-44AM,YES,B01MTA3K9L,"Magnet Me Up I Love Utah, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:12:19.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-44-P parent."
45,38-45,B01N7T7Y3I,"Magnet Me Up I Love Vermont, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-45AM,YES,B01N7T7Y3I,"Magnet Me Up I Love Vermont, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:13:19.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-45-P parent."
46,38-46,B01MTA3LOV,"Magnet Me Up I Love Virginia, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-46AM,YES,B01MTA3LOV,"Magnet Me Up I Love Virginia, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:14:49.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-46-P parent."
47,38-47,B01NAU9GG2,"Magnet Me Up I Love Washington, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-47AM,YES,B01NAU9GG2,"Magnet Me Up I Love Washington, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:15:55.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-47-P parent."
48,38-48,B01MY9A3TK,"Magnet Me Up I Love West Virginia, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-48AM,YES,B01MY9A3TK,"Magnet Me Up I Love West Virginia, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:17:01.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-48-P parent."
49,38-49,B01MS8GQVW,"Magnet Me Up I Love Wisconsin, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-49AM,YES,B01MS8GQVW,"Magnet Me Up I Love Wisconsin, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:18:02.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-49-P parent."
50,38-50,B01N23FDQY,"Magnet Me Up I Love Wyoming, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-50AM,YES,B01N23FDQY,"Magnet Me Up I Love Wyoming, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:18:59.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-50-P parent."
51,38-51,B076R9WPV1,Honk Again I'm Reloading! Car Magnet 3x8 Inch,BUYABLE+DISCOVERABLE,38-51AM,YES,B076R9WPV1,Honk Again I'm Reloading! Car Magnet 3x8 Inch,DISCOVERABLE,2018-01-11T21:54:47.596Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017-10 'Honk Again' novelty car magnet family (dormant dup created 2018-01-11) listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-51-P parent."
52,38-52,B076R6W15B,Honk Again I Didn't Hear You! Car Magnet 3x8 Inch,BUYABLE+DISCOVERABLE,38-52AM,YES,B076R6W15B,Honk Again I Didn't Hear You! Car Magnet 3x8 Inch,DISCOVERABLE,2018-01-11T21:57:34.252Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017-10 'Honk Again' novelty car magnet family (dormant dup created 2018-01-11) listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-52-P parent."
53,38-53,B076RC4THG,Honk Again I Dare You! Car Magnet 3x8 Inch,BUYABLE+DISCOVERABLE,38-53AM,YES,B076RC4THG,Honk Again I Dare You! Car Magnet 3x8 Inch,DISCOVERABLE,2018-01-11T22:00:26.085Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017-10 'Honk Again' novelty car magnet family (dormant dup created 2018-01-11) listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-53-P parent."
54,38-54,B076RDR2H4,Honk Again Feel Better Now? Car Magnet 3x8 Inch,BUYABLE+DISCOVERABLE,38-54AM,YES,B076RDR2H4,Honk Again Feel Better Now? Car Magnet 3x8 Inch,DISCOVERABLE,2018-01-11T22:02:48.390Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017-10 'Honk Again' novelty car magnet family (dormant dup created 2018-01-11) listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-54-P parent."
